Longitude,Latitude,Elevation,Time,Track,Campaign,Link
254.2351,39.916725,2864.33,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69817,39.917915,2189.456,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2345,39.919823,2865.6420000000003,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69875,39.921024,2088.08,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2339,39.922916,2862.243,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69933,39.92412,1984.255,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2333,39.926014,2837.957,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.6999,39.927223,1976.6680000000001,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2327,39.92911,2803.51,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.7005,39.93032,1844.961,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.2321,39.932213,2770.044,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.70108,39.93343,1917.092,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.23152,39.93531,2752.218,2005-10-28 02:57:34,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.70168,39.936543,1952.165,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.23093,39.93841,2733.851,2005-10-28 02:57:34,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.70226,39.939663,2038.395,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.23035,39.941513,2715.994,2005-10-28 02:57:34,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.70284,39.942776,2129.794,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.22978,39.944622,2648.8360000000002,2005-10-28 02:57:34,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.70343,39.94588,2263.847,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.22922,39.94772,2628.3650000000002,2005-10-28 02:57:34,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
